"city","timeMin","timeR01","timeR001","timeR0001","timeL01","timeL001","timeL0001","timeMax","n_reviews","n_listings"
"Amsterdam","2009-03-30","2015-04-02","2014-01-04","2013-01-15","2015-02-01","2013-08-30","2012-08-26","2016-07-04",213642,11386
"Antwerp","2011-08-22","2014-09-22","2013-10-22","2013-02-22","2014-08-18","2013-07-28","2012-08-27","2015-10-03",12786,607
"Asheville","2010-10-28","2015-03-06","2014-03-12","2013-03-31","2014-09-03","2013-07-09","2012-05-22","2016-04-22",27721,742
"Athens","2010-07-08","2014-08-07","2013-08-23","2012-09-28","2014-06-07","2013-03-11","2011-11-04","2015-07-17",34670,1593
"Austin","2008-09-13","2014-09-16","2013-05-28","2012-05-16","2014-06-07","2013-03-04","2012-03-03","2015-11-07",62976,3827
"Barcelona","2010-02-18","2015-08-07","2014-07-14","2013-07-26","2015-05-08","2013-09-14","2012-09-08","2016-12-08",388146,14330
"Berlin","2009-06-07","2014-07-28","2013-06-03","2012-07-18","2014-06-10","2012-10-15","2011-12-24","2015-10-02",185575,12220
"Boston","2009-03-21","2015-06-19","2014-05-25","2012-12-08","2015-05-10","2013-10-26","2012-03-18","2016-09-06",68275,2829
"Brussels","2010-10-15","2014-10-08","2013-10-21","2012-12-05","2014-08-26","2013-07-11","2012-07-13","2015-10-03",62637,3704
"Chicago","2009-03-06","2014-09-19","2013-07-31","2012-08-06","2014-10-14","2013-07-17","2012-05-07","2015-10-03",75180,4142
"Copenhagen","2009-09-04","2015-05-25","2014-05-05","2013-05-20","2015-04-27","2013-12-09","2012-12-02","2016-06-28",135813,11740
"Denver","2008-08-28","2015-05-08","2014-03-31","2013-01-29","2015-04-25","2014-03-06","2013-01-28","2016-05-20",46455,2008
"Dublin","2010-03-07","2015-08-12","2014-09-30","2013-11-09","2015-07-16","2014-08-01","2013-07-04","2016-08-07",106241,5003
"Edinburgh","2010-08-15","2015-05-19","2014-04-20","2013-05-13","2015-03-16","2013-08-15","2012-08-16","2016-07-08",106080,4597
"Geneva","2010-09-28","2015-06-17","2014-06-01","2013-06-21","2015-05-10","2014-01-04","2012-12-14","2016-08-07",25479,1753
"Hong Kong","2010-04-23","2015-05-03","2014-04-05","2013-04-21","2015-04-11","2014-01-17","2012-11-26","2016-08-06",82394,4617
"London","2009-09-20","2015-07-02","2014-05-04","2013-05-05","2015-07-06","2014-03-02","2012-10-15","2016-10-03",564303,34717
"Los Angeles","2008-11-04","2015-06-05","2014-04-21","2013-03-23","2015-05-10","2013-11-16","2012-08-19","2016-08-03",439414,20078
"Madrid","2010-05-10","2014-09-19","2013-09-11","2012-10-23","2014-07-07","2013-03-11","2012-05-20","2015-10-02",107199,5675
"Mallorca","2011-06-09","2014-09-24","2013-10-24","2013-05-02","2014-07-30","2013-07-26","2012-08-20","2016-01-06",60756,6241
"Manchester","2010-09-16","2015-04-06","2014-04-07","2013-06-04","2015-04-01","2013-12-02","2012-09-21","2016-04-11",14880,676
"Melbourne","2010-08-04","2015-11-08","2014-11-24","2013-12-22","2015-08-25","2014-07-07","2013-05-28","2016-12-05",182094,9557
"Montreal","2009-06-20","2015-04-05","2014-01-21","2012-12-31","2015-03-17","2013-08-10","2012-07-09","2016-05-04",97208,7028
"Nashville","2009-04-30","2015-08-18","2014-09-18","2013-10-09","2015-06-29","2014-08-18","2013-09-21","2016-09-05",83383,2787
"New Orleans","2010-04-16","2015-05-08","2014-03-14","2013-03-05","2015-03-30","2013-10-14","2012-10-22","2016-10-02",111584,3796
"New York City","2008-10-13","2015-07-06","2014-01-07","2012-09-29","2015-06-06","2013-08-24","2012-04-12","2016-12-03",614127,31150
"Northern Rivers","2010-06-21","2015-03-22","2014-04-15","2013-04-22","2015-01-01","2013-12-28","2012-12-03","2016-04-02",24951,1726
"Oakland","2009-07-13","2015-01-03","2013-11-24","2012-10-01","2014-09-21","2013-06-17","2012-02-23","2016-05-03",26736,1311
"Paris","2009-05-23","2015-02-24","2013-12-10","2012-12-08","2015-01-02","2013-07-29","2012-07-16","2016-07-04",663599,38217
"Portland","2009-05-23","2015-02-24","2013-12-10","2012-12-08","2015-01-02","2013-07-29","2012-07-16","2016-07-04",663599,38217
"Quebec City","2011-06-13","2015-09-28","2014-12-22","2014-03-12","2015-08-07","2014-08-09","2013-07-27","2016-09-10",25606,1209
"San Diego","2008-06-22","2015-05-12","2014-04-09","2013-04-19","2015-04-06","2013-12-01","2012-09-10","2016-07-06",92862,4590
"San Francisco","2009-03-29","2014-11-09","2013-08-29","2012-07-21","2014-09-21","2013-04-07","2011-10-28","2016-07-02",169739,6396
"Santa Cruz County","2009-07-19","2014-07-31","2013-06-02","2012-05-05","2014-06-16","2012-11-20","2011-09-26","2015-10-17",22121,702
"Seattle","2009-06-07","2014-10-02","2013-08-15","2012-07-10","2014-08-30","2013-06-04","2012-01-15","2016-01-03",84849,3191
"Sydney","2009-12-05","2015-10-22","2014-10-19","2013-11-01","2015-09-27","2014-07-17","2013-06-04","2016-12-04",181125,14591
"Toronto","2009-09-08","2015-11-08","2014-11-02","2013-10-07","2015-08-18","2014-07-22","2013-05-18","2016-12-04",166397,9264
"Trentino","2010-09-26","2015-01-05","2014-05-05","2013-07-26","2014-12-08","2014-02-23","2013-02-03","2015-10-11",5634,925
"Vancouver","2009-04-02","2014-11-09","2013-08-25","2012-07-22","2014-09-30","2013-07-14","2012-05-06","2015-12-02",61313,3530
"Venice","2009-11-15","2014-06-04","2013-05-18","2012-06-24","2013-12-12","2012-08-06","2011-09-09","2015-07-18",69849,2631
"Victoria","2010-10-25","2015-07-19","2014-07-31","2013-08-05","2015-05-19","2013-11-18","2012-09-17","2016-08-01",31243,1441
"Vienna","2010-06-05","2014-06-17","2013-05-27","2012-08-03","2014-04-22","2012-12-27","2012-03-06","2015-07-18",51376,3282
"Washington","2009-01-20","2014-08-03","2013-04-10","2011-12-02","2014-08-01","2013-04-08","2011-10-20","2015-10-02",56989,2893
