"city","neighbourhoods","diversity2008","diversity2009","diversity2010","diversity2011","diversity2012","diversity2013","diversity2014","diversity2015","diversity2016"
"Amsterdam",22,NA,0.0454545454545455,0.211141296787942,0.263692355042085,0.264964338391938,0.316144238872045,0.336647309068081,0.354875696298187,0.363652765911339
"Antwerp",62,NA,NA,NA,0.0446299743942642,0.0931778464861377,0.158661272189191,0.179970754868645,0.174979259117847,NA
"Athens",45,NA,NA,0.0483078309589142,0.204426415928779,0.238145579519308,0.289372009392554,0.3796529799698,0.379022237333962,NA
"Austin",44,0.0227272727272727,0.0249111883614983,0.0453199087864315,0.135691149551641,0.143583676310204,0.165309754831704,0.171043828624957,0.191061061644983,NA
"Barcelona",75,NA,NA,0.0574303072533727,0.1617296033797,0.212533742967053,0.224690573606759,0.257373130897847,0.253426021548574,0.256296675494734
"Berlin",140,NA,0.0240571549135184,0.0765494332460893,0.0873559825450037,0.112195418862306,0.125129943514329,0.150177209544886,0.17165243607142,NA
"Brussels",19,NA,NA,0.0606297201099825,0.102230482776735,0.168503990717963,0.272265791577001,0.286205957137924,0.310734743744456,NA
"Chicago",77,NA,0.0398023923687649,0.0946179008667521,0.142572457989852,0.191288635527526,0.214781863698603,0.225322162579229,0.229406217648627,NA
"Copenhagen",11,NA,0.0909090909090909,0.212831204047474,0.248047458751442,0.299586433964263,0.325881788336547,0.40130887328981,0.451318483118445,0.475680843327645
"Denver",78,0.0128205128205128,0.0227160663345429,0.0194686248240662,0.0453613636777387,0.115223502393463,0.210423056761263,0.257385669882343,0.281644235354285,0.269837319399928
"Dublin",4,NA,NA,0.25,0.444463938505626,0.317591592881465,0.327812414658164,0.29558648314552,0.291123733032024,0.294361386367242
"Edinburgh",111,NA,NA,0.0283209039805022,0.0734347818288094,0.190153684882589,0.216617124590983,0.232748708403486,0.233633298990849,0.241918118185466
"Geneva",45,NA,NA,0.0222222222222222,0.027567152680087,0.0892463249632136,0.074084015815074,0.0611749486078874,0.074227698684318,0.0704823679651943
"Hong Kong",18,NA,NA,0.0555555555555556,0.108510319436392,0.172635482874077,0.144092934476902,0.142833509273178,0.120515957056474,0.119290324400369
"London",33,NA,0.0303030303030303,0.297574952823303,0.324728194406991,0.349019555771307,0.352000467697419,0.363817793927971,0.359165884240414,0.340929750424739
"Los Angeles",272,0.00367647058823529,0.00701915530438519,0.0355393958431527,0.0620236347956997,0.07181908606244,0.0647329090735728,0.0745664409110501,0.0899492989834109,0.103429677075847
"Madrid",128,NA,NA,0.0330331834025174,0.0584864870587925,0.0613572708696171,0.0643939268043706,0.0651365169963142,0.0713453415976544,NA
"Mallorca",53,NA,NA,NA,0.130231003853997,0.256452356805318,0.260444522540248,0.278056866179763,0.296968666907797,0.212614940924336
"Manchester",32,NA,NA,0.03125,0.03125,0.273483059709081,0.251967089268131,0.228816184341576,0.266873120953052,0.237922164890353
"Melbourne",30,NA,NA,0.086043694951607,0.134319063009586,0.140196939537354,0.151679449109271,0.149824625480903,0.14760086713229,0.140446950565209
"Montreal",34,NA,0.0294117647058824,0.0828620691872117,0.108523879379238,0.0775404922693765,0.0713929246504142,0.0807703957864286,0.089832015873368,0.0906340855605149
"Nashville",35,NA,0.0285714285714286,0.0816527050956606,0.10842998590135,0.147656473505335,0.164631116100257,0.176095770761019,0.219238687048974,0.263462507630688
"New Orleans",72,NA,NA,0.0505005036409931,0.0679471811146661,0.0984731590434484,0.118374461601895,0.141939932473235,0.17611738868326,0.213727078814531
"New York City",233,0.00434782608695652,0.0385864540947286,0.0807793919897025,0.109284601269784,0.0996704575619974,0.125339943468411,0.132106922984084,0.136798872916833,0.125954362170222
"Northern Rivers",7,NA,NA,0.142857142857143,0.143720994698692,0.176416547983694,0.185299524055854,0.1961964527985,0.208122873777286,0.213546943105374
"Oakland",131,NA,0.0141758561333397,0.0406121504816216,0.0650168962008122,0.153154839318443,0.178450384957849,0.267910888342014,0.344915245213584,0.357785503403057
"Paris",20,NA,0.122923372280052,0.372058838300151,0.438861218987249,0.4635515845121,0.503379526488232,0.546435970667449,0.562309291608111,0.58550057184043
"Portland",20,NA,0.122923372280052,0.372058838300151,0.438861218987249,0.4635515845121,0.503379526488232,0.546435970667449,0.562309291608111,0.58550057184043
"Quebec City",35,NA,NA,NA,0.0589166485648722,0.0971108165277864,0.0946368880526788,0.0764431816716413,0.109466555488116,0.113181495386019
"San Diego",108,0.00925925925925926,0.00925925925925926,0.0274687105292275,0.0943281475645479,0.0669468865178903,0.0606609588711302,0.0943831054368059,0.136590161769506,0.122016553470665
"San Francisco",37,NA,0.0936529333930687,0.223871835351117,0.380312415730293,0.469139883640941,0.433299653598366,0.494539567762633,0.531890955815296,0.572059447955489
"Seattle",91,NA,0.0345343130305819,0.107144268250215,0.284818810107055,0.198173657138259,0.270616141037359,0.319203179025706,0.327892075006475,0.229986970603495
"Sydney",38,NA,0.0263157894736842,0.0416098017084723,0.136931751252153,0.123776223676114,0.151035325681778,0.159269324371294,0.168364262329934,0.1762222187023
