"word","N"
"brett",23
"kind",104
"thought",104
"host",104
"alway",104
"consider",104
"made",104
"sure",104
"comfort",104
"brilliant",102
"communic",104
"stay",104
"perfect",104
"maud",13
"help",104
"respons",104
"even",104
"wait",104
"quit",104
"late",104
"night",104
"took",104
"wrong",104
"metro",104
"arriv",104
"patient",103
"give",104
"us",104
"practic",102
"inform",104
"hous",104
"written",91
"realli",104
"handi",103
"room",104
"super",104
"clean",104
"well.equip",103
"ask",104
"overal",104
"better",104
"hotel",104
"thank",104
"much",104
"hospit",104
"sammi",9
"nice",104
"meet",104
"central",104
"locat",104
"downtown",104
"sf",92
"area",104
"can",104
"becom",98
"littl",104
"dull",19
"time",104
"felt",104
"safe",104
"swift",48
"easi",104
"via",104
"app",74
"instant",102
"get",104
"answer",104
"question",104
"size",104
"waa",2
"okay",94
"wardrob",71
"bed",104
"excel",104
"share",104
"tini",103
"old",104
"bathroom",104
"toilet",103
"X3",104
"busi",104
"morn",104
"price",104
"accomod",104
"high",104
"guess",95
"rate",102
"still",104
"expens",99
"compar",97
"place",104
"big",104
"kitchen",104
"use",104
"apart",104
"cozi",104
"spent",104
"X2",104
"day",104
"everyth",104
"pleasur",104
"pleasant",104
"guest",104
"grant",48
"welcom",104
"back",104
"anytim",104
"station",104
"X5",104
"minut",104
"foot",104
"friend",104
"cat",104
"jan",64
"winslow",1
"cottag",104
"sever",104
"away",104
"main",104
"never",104
"met",104
"face.to.fac",15
"numer",92
"posit",104
"communicaiton",4
"forth",72
"reserv",104
"set",104
"delight",104
"work",104
"hope",104
"futur",104
"travel",104
"includ",104
"encor",15
"trip",104
"rock",89
"polit",104
"respect",104
"like",104
"around",104
"highest",89
"recommend",104
"leilani",2
"ova",3
"parent",103
"famili",104
"left",104
"absolut",104
"spotless",104
"second",104
"lucki",104
"among",82
"sweet",104
"also",104
"build",104
"bit",104
"got",104
"basic",104
"amenities.th",1
"fast",104
"respond",104
"good",104
"direct",104
"easili",104
"one",104
"sofab",21
"close",104
"two",104
"train",104
"roppongi",9
"midtown",65
"dr",31
"pepper",55
"vend",5
"machin",104
"haha",62
"provid",104
"pocket",52
"wifi",104
"three",104
"street",104
"crowd",98
"hard",104
"walk",104
"thru",49
"amaz",104
"gorgeous",104
"love",104
"neighborhood",104
"shop",104
"gym",94
"look",104
"forward",104
"long",104
"friendship",53
"anoth",104
"great",104
"quick",104
"necessari",103
"accommod",104
"although",104
"chanc",104
"person",104
"enjoy",104
"san",104
