city;long_desc;country
 Destin, Florida ; Destin, FL 32541, USA ; USA
 Bruxelles, Belgio ; Brussels, Belgium ; Belgium
 Parigi, Francia ; Paris, France ; France
 Rambouillet, Francia ; 78120 Rambouillet, France ; France
 Italy, New York ; Italy, NY 14512, USA ; USA
 Singapore ; Singapore ; Singapore
 New York, New York ; 3790 S Las Vegas Blvd, Las Vegas, NV 89109, USA ; USA
 Mosca, Russia ; Moscow, Russia ; Russia
 Nantes, Francia ; Nantes, France ; France
 St Louis, Missouri ; St. Louis, MO, USA ; USA
 Skˆvde, Svezia ; Sk√∂vde, Sweden ; Sweden
 NA ; Namibia ; Namibia
 Hong-Kong ; Hong Kong ; Hong Kong
 Nizza, Francia ; Nice, France ; France
 Los Angeles, California ; Los Angeles, CA, USA ; USA
 Seattle, Washington ; Seattle, WA, USA ; USA
 Barcellona, Spagna ; Barcelona, Spain ; Spain
 Amburgo, Germania ; Hamburg, Germany ; Germany
 Charlottetown, Canada ; Charlottetown, PE, Canada ; Canada
 Waldbrunn, Germania ; 69429 Waldbrunn, Germany ; Germany
 Washington, District of Columbia ; Washington, DC, USA ; USA
 Zurigo, Svizzera ; Z√ºrich, Switzerland ; Switzerland
 Chicago, Illinois ; Chicago, IL, USA ; USA
 Honolulu, Hawaii ; Honolulu, HI, USA ; USA
 Londra, Regno Unito ; London, UK ; UK
 Ekaterinburg, Russia ; Yekaterinburg, Sverdlovsk Oblast, Russia ; Russia
 Reno, Nevada ; Reno, NV, USA ; USA
 Courbevoie, Francia ; 92400 Courbevoie, France ; France
 San Francisco, California ; San Francisco, CA, USA ; USA
 Amsterdam, Paesi Bassi ; Amsterdam, Netherlands ; Netherlands
 Ottawa, Canada ; Ottawa, ON, Canada ; Canada
 Laguna Hills, California ; Laguna Hills, CA, USA ; USA
 Kensington, California ; Kensington, CA, USA ; USA
 Lione, Francia ; Lyon, France ; France
 Bordeaux, Francia ; Bordeaux, France ; France
 Newcastle, Australia ; Newcastle NSW, Australia ; Australia
 Roma, Italia ; Rome, Italy ; Italy
 Ridgewood, New Jersey ; Ridgewood, NJ, USA ; USA
 Belo Horizonte, Brasile ; Belo Horizonte - State of Minas Gerais, Brazil ; Brazil
