"word","N"
"maurits.s",1
"apartment",999
"is",1000
"amazing",980
"it.s",988
"bright",459
"and",1000
"spacious",942
"the",1000
"rooms",566
"are",1000
"all",1000
"so",1000
"comfortable",1000
"neighborhood",943
"excellent",976
"quiet",995
"charming",669
"but",1000
"very",1000
"close",997
"to",1000
"everything",1000
"has",994
"you",1000
"might",532
"need",977
"maurits",1
"was",1000
"such",897
"a",1000
"gracious",502
"host",1000
"exceptional",176
"best",975
"air",575
"bnb",307
"i.ve",464
"ever",758
"stayed",988
"in.",1000
"truly",574
"high",469
"quality",288
"with",1000
"beautiful",992
"attention",297
"detail",285
"mattress",225
"private",798
"deck",291
"back",999
"great",1000
"little",962
"kitchen",965
"snacks",244
"upon",496
"checkin",120
"sweet",661
"touch",532
"we",1000
"loved",959
"it",1000
"highly",995
"recommend",1000
"old",768
"mansion",18
"located",978
"walking",960
"distance",934
"from",1000
"universities",6
"parks",186
"food",798
"note",354
"that",1000
"there",999
"no",967
"tv",498
"plently",1
"of",1000
"personal",260
"interaction",90
"hosts",984
"welcoming",924
"friendly",999
"don.t",741
"let",626
"scott",54
"drink",297
"too",932
"much",993
"he",981
"can",993
"get",992
"bit",835
"extreme",29
"communication",984
"ian",29
"throughout",539
"our",1000
"trip",947
"exactly",870
"as",1000
"described",804
"cool",688
"place",1000
"location",1000
"perfect",1000
"thanks",992
"again",1000
"jeff",69
"his",973
"friend",770
"were",1000
"delight",274
"they",999
"left",993
"room",997
"impeccably",77
"clean",1000
"thank",995
"although",716
"i",1000
"did",911
"not",1000
"meet",932
"them",995
"according",60
"my",1000
"coworkers",9
"come",972
"wishes",143
"yolanda",6
"nice",1000
"beds",674
"good",999
"shower",745
"downtown",744
"around",981
"stay",1000
"environment",183
"two",959
"fantastic",945
"at",1000
"s",480
"wonderful",997
"how",832
"appears",89
"photos",584
"perfectly",700
"easy",1000
"check",915
"access",828
"unit",447
"accommodating",861
"check.in",618
"requests",177
"plenty",784
"parking",733
"on",1000
"streets",228
"love",914
"decorated",654
"this",1000
"more",982
"than",956
"expected",578
"right",946
"across",501
"street",907
"could",980
"see",947
"car",673
"window",367
"stocked",472
"what",953
"cook",436
"meals",370
"even",989
"coffee",837
"ketchup",1
"owner",341
"who",947
"kept",697
"about",994
"arrival",966
"obtain",15
"keys",404
"can.t",637
"say",672
"enough",904
"things",859
"experience",983
"while.",860
"visiting",730
"portland",133
"view",869
"recommended",955
"lee.s",6
"house",1000
"touches",259
"make",934
"feel",962
"like",989
"home",998
"within",864
"number",273
"restaurants",990
"shops",856
"would",1000
"definitely",998
"here",997
"future",816
"haven.t",94
"seen",215
"cincinnati",6
"until",389
"have",1000
"views",653
"an",998
"find",867
"divine",28
"decor",320
"treat",250
"for.",1000
"eyes",37
"rambling",3
"outside",742
"patio",336
"areas",465
"which",991
"simply",313
"will",998
"return",742
"only",983
"city",981
"perfection",37
"value",622
"hotel",536
"along",480
"one",992
"central",826
"canals",19
"traveler",164
"me",986
"looking",879
"spend",573
"time",1000
"possible",380
"exploring",533
"convenient",907
"elevator",210
"cozy",917
"asked",531
"better",872
"spot",737
"sorry",416
"night",977
"early",607
"morning",789
"enjoy",806
"breakfast",817
"really",1000
"enjoyed",994
"able",823
"tram",264
"directly",228
"station",812
"rather",253
"ways",124
"heavy",143
"bags",219
"then",646
"places",880
"hoping",112
"explore",592
"rijksmusem",1
"etc",761
"lovely",998
"friends",895
"had",1000
"sophie.s",10
"well",1000
"equipped",777
"negative",150
"X3",776
"seats",19
"lounge",135
"area",994
"X4",672
"walk.able",8
"few",927
"nights",782
"sari",5
"quick",797
"answer",348
"any",986
"questions",865
"staying",986
"property",699
"lunettes",1
"pictures",745
"pleasure",958
"son",405
"excelent",37
"guest",996
"always",962
"responsable",8
"sensitive",247
"polite",769
"person",895
"recomend",143
"him",899
"other",967
"we.d",400
"be",1000
"happy",918
"second",606
"fabulous",451
"filled",209
"history",167
"antiques",31
"ron",27
"go",942
"above",458
"beyond",432
"guests",994
"welcome",994
"forward",637
"during",954
"visits",131
"pittsburgh",10
"bed",959
"gorgeous",486
"large",744
"open",693
"living",770
"dining",350
"loves",81
"gadgets",6
"kitted",19
"out",997
"lots",883
"tech",24
"sonos",10
"projector",11
"machine",360
"bedrooms",418
"sizes",14
"near",890
"local",773
"bars",759
"cafes",480
"walk",987
"centre",587
"scenic",184
"hosting",744
"these",448
"rainy",103
"off",708
"season",115
"peaceful",581
"oregon",21
"coast",180
"anytime",890
"north",200
"fork",8
"X53",14
"spotless",496
"cute",696
"awesome",867
"cd",13
"collection",123
"authentic",162
"over",797
"canal",92
"helpfull",115
"kind",972
"staff",284
"just",999
"minuites",1
"defenetly",9
"another",631
"smooth",430
"effortless",41
"condo",390
"looks",401
"do",959
"justice",197
"christopher",29
"offered",509
"help",775
"if.",1000
"needed",974
"didn.t",930
"single",280
"issue",540
"discuss",25
"opinion",90
"success",53
"when",994
"traveling",431
"extremely",845
"pleased",346
"christopher.s",11
"flavor",14
"asheville",35
"many",887
"top",567
"bar",324
"spots",305
"adorable",354
"absolute",288
"bargain",24
"X100",388
"accurate",400
"provided",886
"detailed",265
"directions",431
"checking",391
"also",997
"X2",855
"minute",813
"safeway",27
"blessing",27
"considering",219
"weather",418
"there.s",491
"lot",916
"way",883
"reasonable",202
"prices",71
"absolutely",889
"neat",600
"airbnb",958
"date",119
"problem",699
"sharing",320
"jack",47
"jill",23
"bathroom",917
"adjacent",61
"unique",394
"visited",231
"some",986
"breweries",49
"keep",484
"hearing",101
"pretty",682
"anything",649
"looked",383
"service",411
"accommodation",468
"went",863
"suited",128
"us",1000
"system",225
"pleasant",840
"couple",874
"kids",523
"gave",891
"pointers",23
"consider",259
"improving",10
"short",915
"amsterdam",135
"its",732
"call",297
"affluent",3
"floor",636
"or",992
"flights",130
"stairs",382
"bathrooms",294
"use",810
"sure",895
"especially",733
"evening",534
"hot",665
"tub",296
"soak",33
"planning",239
"may",499
"market",450
"square",282
"sights",321
"bruges",16
"check.out",261
"process",407
"simple",502
"filip",3
"sophie",36
"amenable",14
"leo",26
"bungalow",83
"super",984
"guys",410
"books",264
"now",382
"several",545
"airbnbs",64
"none",100
"elegant",77
"thought",464
"restored",33
"said",457
"andrew",68
"carnegie",1
"actually",499
"lived",206
"connecting",40
"toured",15
"pitt",2
"mellon",1
"mile",210
"schools",7
"walked",439
"ended",229
"up",975
"driving",212
"both",855
"days",967
"circular",7
"driveway",107
"front",598
"never",713
"furnishings",146
"space",971
"heaters",61
"chilly",84
"sound",200
"machines",17
"case",275
"bothered",48
"by",986
"noise",572
"fairly",193
"busy",452
"notice",208
"traffic",274
"used",600
"tropical",46
"forest",112
"vibe",184
"basket",84
"toiletries",171
"forgot",110
"fluffy",43
"towels",662
"locks",44
"doors",208
"hall",91
"weren.t",211
"downstairs",288
"common",228
"spaces",134
"ate",142
"dinner",495
"table",346
"company",361
"modern",604
"told",372
"drive",654
"lookout",8
"destination",70
"regret",199
"couldn.t",714
"hopefully",213
"soon",754
"couples",255
"yummy",103
"brunch",49
"options",310
"ten",147
"where",886
"cheap",221
"weekends",64
"people",983
"going",823
"proximity",250
"incredible",488
"picture",165
"helpful",996
"responded",432
"quickly",602
"diners",17
"trouble",280
"either",280
"am",707
"next.",966
"year",491
"walkable",386
"city.s",23
"stocking",13
"toilet",329
"paper",145
"tissues",7
"lotion",15
"fine",583
"shape",381
"communicative",689
"cooperative",34
"respectful",904
"neighbors",283
"family",953
"breeze",276
"prior",333
"iconic",14
"mention",264
"myself",339
"wife",525
"made",989
"memorable",174
"hospitality",497
"remarkably",19
"i.d",586
"stays",207
"conference",172
"major",324
"points",111
"interest",122
"flat",896
"well.kept",33
"streetcar",21
"disturbing",47
"stops",307
"hesitate",393
"megan",32
"highest",67
"compliment",21
"think",584
"pay",201
"arrived",902
"after",915
"their",962
"tell",297
"anyone",885
"been",922
"recommendation",196
"overall",837
"last",614
"ian.s",8
"capitol",39
"hill",259
"rocks",28
"extensively",15
"found",784
"took",835
"link",19
"inexpensive",57
"down",741
"every",883
"day",968
"well.equipped",212
"king.size",6
"comfy",727
"terrific",301
"responsive",795
"partner",302
"energetic",45
"positive",434
"visit",967
